ResourceID,Full Address,Address Type,Building Name,Building Number (Sub-Street),Sub-Street,Building Number (Street),Street,Locality,Town,County,Country,Postcode
4f02bf39-9c85-4ed6-b79d-28563caf37d7,"27  Eastways, Witham, Essex, CM8 3YQ",Alternative,,,,27 ,Eastways,,Witham,Essex,,CM8 3YQ
4f417019-ee02-47a9-82ed-e33ccbc5a608,"Environmental Services - Civic Centre PO Box 53, Silver Street, Enfield, EN1 3XE",Primary,Environmental Services - Civic Centre PO Box 53,,,,Silver Street,,Enfield,,,EN1 3XE
4f7a0eb5-3533-4c73-8fc2-3a0b81a2c3a7,"6  Guildford Way, Loughborough, Leicestershire, LE11 3SE",Primary,,,,6 ,Guildford Way,,Loughborough,Leicestershire,,LE11 3SE
4fd68fa4-2e2d-4cf3-b75a-3d269ccb10ba,"14 Regent's Wharf, All Saints Street, King's Cross, London, N1 9RL",Primary,,14,Regent's Wharf,,All Saints Street,King's Cross,London,,,N1 9RL
4fd68fa4-2e2d-4cf3-b75a-3d269ccb10ba,"Helmont House, Churchill Way, Cardiff, CF10 2HE",Alternative,Helmont House,,,,Churchill Way,,Cardiff,,,CF10 2HE
4fe0c9bb-e04f-433b-865f-11136bca2860,"Head Office, 130  Wilton Road, London, SW1V 1LQ",Primary,Head Office,,,130 ,Wilton Road,,London,,,SW1V 1LQ
50073790-d8af-484f-82f2-0c34d4ca23ed,"39  Manton Avenue, London, W7 2DY",Primary,,,,39 ,Manton Avenue,,London,,,W7 2DY
501dd5b6-167a-49d3-a7c0-b04fe1498ad7,"Floor 5 - Cornerblock, 2 Cornwall Street, Birmingham, B3 2DX",Primary,Floor 5 - Cornerblock,,,2,Cornwall Street,,Birmingham,,,B3 2DX
509b7ca4-a1f3-4685-877c-f397eb25ab3f,"St James Hall, Moore Park Road, London, SW6 2JW",Primary,St James Hall,,,,Moore Park Road,,London,,,SW6 2JW
50b3eba0-8eba-48c6-ac81-76f1808df22b,"Architecture and Conservation, 43  New Road, London, E1 1HE",Primary,Architecture and Conservation,,,43 ,New Road,,London,,,E1 1HE
50cf138d-fc3a-4ca4-94a3-6a9d592150da,"Jacobs Court, 31  Sandford Road, Leeds, LS5 3RR",Primary,Jacobs Court,,,31 ,Sandford Road,,Leeds,,,LS5 3RR
5124512b-d12d-4821-addc-28ce0a1fcd21,"Bidwell House, Trumpington Road, Cambridge, CB2 9LD",Primary,Bidwell House,,,,Trumpington Road,,Cambridge,,,CB2 9LD
514955eb-8955-4727-92d8-f581dea87b90,"41-43 Maddox Street, Kensington, London, W1S 2PD",Primary,,,,41-43,Maddox Street,Kensington,London,,,W1S 2PD
51962498-2fe1-4eb6-9ffc-e097a16ae71a,"Alberton House, St Mary's Parsonage, Manchester, M3 2WJ",Primary,Alberton House,,,,St Mary's Parsonage,,Manchester,,,M3 2WJ
51fa8c73-e65f-4db8-bb6b-5c73cc5f30ef,"2nd Floor, 46  Bow Lane, London, EC4M 9DL",Primary,2nd Floor,,,46 ,Bow Lane,,London,,,EC4M 9DL
52909575-1813-491f-8e71-402b2f8acc64,"Brunel Science Park, Coopers Hill Lane, Englefield Green, Egham, Surrey, TW20 0JZ",Primary,Brunel Science Park,,,,Coopers Hill Lane,Englefield Green,Egham,Surrey,,TW20 0JZ
5290aafc-516d-4556-83f6-5e71073eec71,"Magistrates Building, Town Hall Complex, Forest Road, Walthamstow, London, E17 4JF",Primary,Magistrates Building,,Town Hall Complex,,Forest Road,Walthamstow,London,,,E17 4JF
52b361fa-f709-451b-b2bc-42ecc76f8f61,"Marlborough Hse, Upper Marlborough Road, St Albans, AL1 3UT",Primary,Marlborough Hse,,,,Upper Marlborough Road,,St Albans,,,AL1 3UT
53407431-999d-4423-ada8-fa2077c40805,"Suite 9 - Claremont Business Centre, 6  Claremont Road, Surbiton, KT6 4RA",Primary,Suite 9 - Claremont Business Centre,,,6 ,Claremont Road,,Surbiton,,,KT6 4RA
53443703-bce3-4e3c-a147-fe59826abe4e,"Isambard House, 60  Weston Street, London, SE1 3QJ",Primary,Isambard House,,,60 ,Weston Street,,London,,,SE1 3QJ
5367ef65-9e4f-4a41-bcee-141f6bb08d34,"349  Ilderton Road, London, SE15 1NW",Primary,,,,349 ,Ilderton Road,,London,,,SE15 1NW
