ResourceID,Event Type
0682540e-3806-4204-8c75-3a3c5657c273,Watching Brief
0686dc33-da5b-4c3c-ad34-2a3cd93a6671,Desk Based Assessment
0689bac2-5d1a-47b4-a4a6-1acd0066ab7e,Watching Brief
0690a118-52a6-4f63-a39a-fd717bb174a3,Excavation
06951641-b6e8-4777-a712-fd2ffdece8fb,Excavation
0699aa87-b4be-4ce5-893b-62afe7999624,Field Observation (Monitoring)
069d4f9e-9b31-4170-a53d-d70e65e8c2dc,Casual Observation
06a25fce-e954-4f6a-8687-7a0f6ff717d8,Open Area Excavation
06a36758-3f08-4958-87c9-3464be9a87f2,Watching Brief
06a478a7-486c-482e-ade7-d2f94fbbddf2,Trial Trench
06a83b58-bc1a-4fbe-9f68-1e710156009d,Building Survey
06a892e8-af7b-4a2d-96eb-24f6a71b04fc,Trial Trench
06b7c818-1c22-4145-adc9-5d64cf388c78,Evaluation
06b87895-e5ef-45c0-bc55-a0f6b13c7aa6,Trial Trench
06bd3122-770e-44a5-abc5-960ddd9b0455,Trial Trench
06c923c2-a225-4934-a6de-8c9ec21e8cb3,Desk Based Assessment
06c9ac8d-e2bd-4568-b2d5-447eecf23fdd,Field Observation (Visual Assessment)
06d8e3a6-fc46-4f7f-8d22-00adacf8da02,Trial Trench
06d914a0-ca3c-4c7c-8517-e675d122fe70,Trial Trench
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,Evaluation
06e6303a-171e-40b6-9c7e-ed1b893f531b,Trial Trench
06e79212-f80c-4d5e-acab-9f5c7b1c15c7,Trial Trench
06eb7a47-baf7-4c79-aeab-2ffabe2502ea,Open Area Excavation
06ecfc68-689d-4934-8f6c-7a973b7d58bf,Trial Trench
06ed9d14-7948-4d5d-82a6-3de9a68bf1da,Trial Trench
06eecb79-6588-462a-afd5-ce9397db66d3,Desk Based Assessment
06f19ca5-adb1-4371-a79f-b0e09614fc1a,Excavation
06f83213-74e1-4907-82a5-91e2e6b16472,Desk Based Assessment
07007cab-e273-4446-b812-4993fc43c3b2,Strip Map And Sample
070cad47-52a6-41e6-a6f6-7140d243b088,Trial Trench
070d41cf-6105-4e4d-be51-91ee9c256c08,Watching Brief
0713586f-457b-46e5-a8d0-96eb68f8661c,Excavation
071fb5fd-8923-42e5-9860-f78d6949874f,Trial Trench
07206218-2ef0-4535-95c6-38731ca21c36,Excavation
0726c685-7158-4cbc-8e66-b2b75d894aba,Desk Based Assessment
072acc44-0299-4ba3-84f4-b9ad768cda7a,Desk Based Assessment
072c80c3-ce44-415d-8fd5-136fac7daa73,Trial Trench
07342d41-7d90-4f48-ab4f-db564a0ef930,Watching Brief
07394481-26c2-46f2-8133-b52ad2dd1d5e,Trial Trench
07410fd0-47e4-47a4-aafe-f9f47438c044,Excavation
07444cff-505d-48c1-b63e-f25df5a0f9e6,Open Area Excavation
0745d824-5f1c-4071-8773-04c08a7a4c5a,Trial Trench
074a4721-1794-46a8-bf3c-6e7677e2f193,Watching Brief
074c63a5-779b-4f67-a8c6-48a2c3cb447c,Watching Brief
074e6ae5-7b47-4e83-9f0e-73877175c37b,Desk Based Assessment
074fbbbb-5c09-4d14-a5a2-80f36b22dea9,Watching Brief
07530778-4b88-4eb4-a55f-cc7318679b8c,Watching Brief
075475db-31bd-492d-b373-6d43d9af8824,Building Survey
075b7124-19d1-4ffe-a391-972e8cbc461e,Watching Brief
0760934d-3905-4282-9565-e3f84e798b58,Desk Based Assessment
07681905-25c3-4432-b9cb-4222a355f5d5,Desk Based Assessment
0768aad1-9043-4da3-a751-d501dddbe22d,Excavation
076f8d29-663c-4df6-91bc-803703a6a54c,Watching Brief
077a2b9b-175e-4640-b970-8a331e080b17,Desk Based Assessment
077db082-a8d2-41ee-abdf-0dd124aef2c0,Watching Brief
0784e621-a3b0-4325-b6d0-5e51d8a9e6ca,Building Survey
07865bc8-7e6a-4719-8736-f9756f0ac042,Watching Brief
078784bf-2685-4fab-8032-6da0dd42b624,Casual Observation
079414c0-e6d5-4514-96a4-64abdc811118,Desk Based Assessment
0794efca-f056-486f-a570-f4217a4e8aae,Desk Based Assessment
0796990a-a137-4a86-aa38-8b287aa68b67,Open Area Excavation
07994b83-57e0-4e1b-92f7-4d194a017a2a,Trial Trench
079a37c1-465f-4919-87c6-28d80978b7e4,Watching Brief
079b96be-8843-45ec-955f-b300ce3776b4,Watching Brief
079f7b32-26d9-44b1-b68e-f7854a898e74,Excavation
07a3803c-74a6-460a-8142-05de7bae453f,Watching Brief
07a3ad45-a864-4c69-85d9-c0db2b463967,Watching Brief
07a3ad45-a864-4c69-85d9-c0db2b463967,Trial Trench
07a3e869-8250-4431-bc8a-e223bc0feac9,Trial Trench
07a93a36-e0e6-441d-a719-c5f54e23f785,Excavation
07b133ec-0185-406b-b9ad-93cd77db8eeb,Architectural Survey
07bcc55d-037f-44c9-b12d-1af4ebb4d5b4,Desk Based Assessment
07bf76af-488e-475d-b883-f5732f7dbb85,Open Area Excavation
07cba4d8-b14a-415d-bf01-0e429a75a74d,Watching Brief
07d21566-4efa-4238-9c9d-229bbbf7ac7a,Trial Trench
07d95712-7e29-4a8b-8588-401afda442cb,Watching Brief
07d9f061-924b-4371-8d23-5c3fa574e0f4,Desk Based Assessment
07da1204-0aa4-4513-ac1d-184290c687be,Trial Trench
07dfa239-cb30-44ad-a872-cb82f99833ee,Trial Trench
