ResourceID,Location Description,Location Description Type
0a37fc42-94d0-47d7-a223-cfaa408255a7,"Layhams Lane, Keston, Bromley, BR2 6AR",Primary
0a43498b-503c-4735-b49b-bcf0d4ace648,"Roman Way, Crayford, Bexley",Primary
0a471ab8-c575-477c-a603-c937b854fa2c,"Glasshouse Fields, Tower Hamlets, E1",Primary
0a471ab8-c575-477c-a603-c937b854fa2c,"Cable Street, Tower Hamlets, E1",Primary
0a471ab8-c575-477c-a603-c937b854fa2c,"Brodlove Lane, Tower Hamlets, E1",Primary
0a4851c5-86af-423c-a65f-6488a6335d8e,"Martello Street, E8",Primary
0a536055-e401-4e72-a85f-b19f99a33e75,"Butcher Street, Newham",Primary
0a59c138-3201-48a6-8c86-75c4d4dc4f15,"Hopton Street, Southwark, SE1",Primary
0a6454f8-7d9d-4634-a9fa-4cb9f49069bd,"Mark Lane, City of London, EC3",Primary
0a6454f8-7d9d-4634-a9fa-4cb9f49069bd,"Hart Street, City of London, EC3",Primary
0a75da83-367c-4610-bd0f-50ce4c5b3000,Hodson Cres,Primary
0a7760ca-35e4-4f8a-911c-0f02ca8a96ac,"Bankside, Southwark, SE1",Primary
0a97562a-377f-472e-b86b-d626a8ab79d6,"Wood Street, EC2V",Primary
0ab50111-1ec7-48f4-9778-d694e52d029d,River Thames,Primary
0ab50111-1ec7-48f4-9778-d694e52d029d,Royal Festival Hall,Primary
0ab50111-1ec7-48f4-9778-d694e52d029d,Hungerford Bridge,Primary
0ab7c20a-5e60-4dee-8477-f887370ebeb3,"Grahame Park, Near Colindale,, NW7",Primary
0ab7e031-25dd-45e8-838b-86a221801f29,"The Tennis Court Site, New Hibernia House, Winchester Square, Winchester Walk, Southwark, SE1",Primary
0abe533d-7414-48fd-8b41-b31dc995a1c4,Clapham,Primary
0af7cc1a-6694-4200-930a-b3642e8ce4ee,"Breakspear Road North, Harefield, Hillingdon",Primary
