ResourceID,External Cross Reference Source,External Cross Reference Number
1a43f00f-e59b-4a22-b783-c0102aaf1b33,London Archaeological Group Number,022/0603
1a55f28e-7382-4b6c-8f6a-c362d1fecc5d,London Archaeological Group Number,32/001
1a8ddfe1-1bd4-46c9-ba7b-c7c814285fd0,London Archaeological Group Number,07/139
1a8fc506-a17e-4f94-a226-bbee03f585a8,London Archaeological Group Number,25/410
1a90772e-fdd9-4728-9cdf-463998e8ff88,London Archaeological Group Number,05/393
1aaef433-86c2-4eea-a2c2-8ac4b5fc414c,London Archaeological Group Number,18/160
1ab731bd-b4d9-4841-8dd1-7f44a8cd3f15,London Archaeological Group Number,13/020
1ad35e0c-545b-4b14-9edd-1354be5df499,London Archaeological Group Number,33/242
1adf80db-3cd9-41dc-a15f-841624af57fa,London Archaeological Group Number,19/082
1b2a4b05-6cb1-4006-8c53-4b7e7d3d0c1b,London Archaeological Group Number,20/022
1b40a343-ab5d-43ce-8caa-742107655e65,London Archaeological Group Number,09/041
1b4b952f-fee5-4a23-b396-b31a4b58701e,London Archaeological Group Number,07/169
1b5cb441-e272-4fd3-85d6-87dfba75d7fa,London Archaeological Group Number,03/302
1b714ac4-e62e-4828-a87e-5be469219e84,London Archaeological Group Number,10/275
1b7c5551-0fc1-4480-add4-b6c8b82c46d1,London Archaeological Group Number,12/068
1b889f14-e212-4d90-86b8-447bc5f2a910,London Archaeological Group Number,21/030
1bb54f9f-cd10-46ab-81ba-8791e0e3d683,London Archaeological Group Number,10/175
1bc4d83a-a1d5-451a-9300-a5643c8f4274,London Archaeological Group Number,10/399
1bcc6168-99cb-473a-b973-1302b81fccb4,London Archaeological Group Number,25/513
1be95ab9-2d86-4438-82ac-f5e4a43e55ca,London Archaeological Group Number,32/296
1bebd9a1-ebc3-4878-b65a-8148b5964b73,London Archaeological Group Number,31/016
1c21da4a-c61e-470e-a14b-bd6d49bc3f08,London Archaeological Group Number,17/409
1c4a5f9c-2b95-4545-acb2-92627fe6ce5f,London Archaeological Group Number,14/157
1c56bc76-467b-43bb-ba0d-71139d578ce1,London Archaeological Group Number,12/585
1c594909-fc9d-4661-9784-e3535385f180,London Archaeological Group Number,07/377
1c5efc8f-d424-4e53-839d-2c20aaae9dd8,London Archaeological Group Number,07/315
1ca3a028-1647-4d88-b5dc-cae6037477f2,London Archaeological Group Number,07/351
1ca5f96c-79dd-4fb7-9d2f-0c9d496d0766,London Archaeological Group Number,07/257
1cc15b97-6100-4847-8a44-b3031056ec55,London Archaeological Group Number,32/087
1cc6180d-0516-4e6e-816a-9bd502415fbf,London Archaeological Group Number,32/173
1cdeebf6-a1c5-4636-ad51-19e10e30827b,London Archaeological Group Number,18/176
1ce736a7-bbc6-433e-acef-4cff49cc63ca,London Archaeological Group Number,07/274
1cf703f2-d92a-4faf-ada3-28713bc6ee6f,London Archaeological Group Number,21/114
1d049c58-262d-48cb-aa30-3acfabbe4918,London Archaeological Group Number,33/171
