ResourceID,DALUID,Building Number and Street,Building Name,Locality,Town,Postcode,Address Status,Area Name,Area Type,Area Currency,Reference Number,Reference Number Type,Location Description,Name,Name_Type
42a09ff2-2e0d-5dd3-8743-b570413e718f,DALO02801,16  Flat A Powell Road,,,London,E5 8DJ,Primary,Hackney,Borough,Current,2017/1607,External Organization Reference Number,,"Flat A, 16 Powell Road, London E5 8DJ",Primary
42a80bd5-57e1-4e0a-1458-34013492649b,DALO01201,149 - 151  Heath Road,,Twickenham,London,TW1 4BH,Primary,Richmond upon Thames,Borough,Current,16/3450/FUL,External Organization Reference Number,Land At 149 - 151 Heath Road Twickenham,Land At 149 - 151 Heath Road Twickenham,Alternative
42b1f005-2e06-44e5-4362-6f37f23683f3,DALO00299,,Coombe Cliff,Croydon,London,CR0 5RD,Primary,Croydon,Borough,Current,PRK12,External Organization Reference Number,"Park Hill Park, Water Tower, South Croydon","Park Hill Park, Water Tower, South Croydon",Primary
42cd6e21-18ba-0edc-03a8-d2b2abef97bc,DALO03599,31  Orchard Road,,Kingston upon Thames,London,KT1 2QP,Primary,Kingston upon Thames,Borough,Current,1613134,External Organization Reference Number,,"31 Orchard Road, KINGSTON UPON THAMES, KT1 2QP",Primary
42d7653a-129a-6f5a-9731-2fd7ae9e1129,DALO01662,37  Greenwich High Road,,Greenwich,London,SE10 8LR,Primary,Greenwich,Borough,Current,,,"Hope Wharf, 39 Greenwich High Road","Hope Wharf, 39 Greenwich High Road",Alternative
42da27b3-10e1-089b-6eb4-98ed8fac906f,DALO02214,26  Britton Street,,,London,EC1M 5UB,Primary,Islington,Borough,Current,P2017/3252/FUL,External Organization Reference Number,,"26 Britton Street, London, EC1M 5UB",Primary
42e0acbe-4982-92b0-578e-671f0dd83be1,DALO01397,6  Cecilia Road,,Hackney,London,E8 2EP,Primary,Hackney,Borough,Current,2017/3537,External Organization Reference Number,,6 Cecilia Road Hackney LONDON E8 2EP,Primary
42e5875e-708e-5a52-11ee-ef7717de495b,DALO03041,329  High Street North,,Manor Park,London,E12 6PQ,Primary,Newham,Borough,Current,17/00619/FUL,External Organization Reference Number,,"329 High Street North, Manor Park, London, E12 6PQ",Primary
42f2bf72-8837-1cf4-25a2-44c812f71d2e,DALO04521,72  Wentworth Way,,South Croydon,London,CR2 9EW,Primary,Croydon,Borough,Current,16/03165/P,External Organization Reference Number,,"72 Wentworth Way, South Croydon, CR2 9EW",Primary
42fb8608-525d-7015-7067-b39411fa3f8b,DALO01158,,Goldsmith College,,London,SE14 6YZ,Primary,Lewisham,Borough,Current,DC/16/096794,External Organization Reference Number,"GOLDSMITHS COLLEGE, LEWISHAM WAY, LONDON, ","GOLDSMITHS COLLEGE, LEWISHAM WAY, LONDON, SE14 6YZ",Primary
42fd672f-1ade-1e8c-34f7-9fe65b2e7b00,DALO00431,173  Red Lion Road,,Surbiton,London,KT6 7RG,Primary,Kingston upon Thames,Borough,Current,1816420,External Organization Reference Number,,173 Red Lion Road Surbiton KT6 7RG,Primary
4310af98-5072-7657-3a6b-0b51a1ff9f3c,DALO00515,93  Cranwich Road,,Hackney,London,N16 5JA,Primary,Hackney,Borough,Current,2018/1896,External Organization Reference Number,,93 Cranwich Road Hackney London N16 5JA,Primary
