ResourceID,Location Description,Location Description Type
1380d8c1-9db0-44b9-8862-4f5247f1a588,"Champions Way, Hendon, Barnet, NW4",Primary
1393164a-bcb3-42cc-baee-e4d355d4feda,"Whitehall Lane, Buckhurst Hill, Woodford",Primary
1393164a-bcb3-42cc-baee-e4d355d4feda,"Tuttlebee Lane, Buckhurst Hill, Woodford",Primary
140eda94-9775-4221-a919-622b4ef94751,"Frog Lane, Rainham",Primary
146b006c-141a-49c8-a9b7-9a57405ebf15,"Lionel Road South, Brentford, Hounslow",Primary
14c8362d-4616-4eed-8b8e-e67c84d676cf,"Royal Wharf, North Woolwich Road, Silvertown, newham",Primary
1524762e-f671-4fc9-961a-3f3e1f9d9c5a,"New Road, Hackbridge, Sutton",Primary
154a7a54-b436-4ce1-9fff-0ceac9c6384d,"Whitewebbs, Enfield",Primary
154f9506-909b-488c-aa53-a03287e12ad8,"Great College Street, City Of Westminster, SW1",Primary
155a8204-9ee5-4ea3-bdce-40bcf0ebadc8,"Kingston Railway Goods Yard, Sopwith Way, Kingston, KT2",Primary
15731bb0-6ac9-451a-bc1b-2555e6cb4411,"Land at Former BT Deport Site, Willow Road, New Malden, Kingston upon Thames",Primary
1575bd50-a349-48e5-a4c2-73b4b339e27f,"Worcester Park, Back Lane, off Green Lane, Sutton",Primary
15d570a6-64d7-412d-9807-221b660828d6,"Alice Street, Southwark, SE1 4TL",Primary
15d570a6-64d7-412d-9807-221b660828d6,"Green Walk, Southwark, SE1",Primary
15d7700e-06be-4dd1-9d54-a9c19c8b6757,"Richmond Park, SW14",Primary
15ee8299-dcb8-41ab-8153-1441b4752dcf,"Greenwood Place, Kentish Town, Camden, NW5",Primary
15f90b26-02f0-4e26-bdea-c27b5712ec88,"Site C, Anderson Way, Belvedere",Primary
15f90b26-02f0-4e26-bdea-c27b5712ec88,"Site C, Bronze Age Way, Belvedere",Primary
1601b14c-5e16-4945-b626-7b44347592d0,"Barking Riverside Extension, London Borough Of Barking & Dagenham",Primary
1629e840-ea87-43d1-879b-ec6281cda4a9,"Former GPO site, Angel Way, Romford, Havering, RM1",Primary
1638b143-e4aa-4a92-b10a-bc7739061df0,"Land At 'robinwood', Kingston Vale,, SW15",Primary
163eb8fa-b654-4576-ab9a-78f22cda3251,"Lambeth Palace Road, SE1",Primary
1688c33e-10a9-4eb1-8ab3-e9176a81c0fe,"Embassy Gardens Phase 3 Plot A02, Nine Elms Lane, London Borough of Wandsworth, SW8",Primary
16d41e24-3c0a-4369-8ff7-68fd62f77522,"Church Street, Croydon",Primary
16d41e24-3c0a-4369-8ff7-68fd62f77522,"Charles Street, Croydon",Primary
16d41e24-3c0a-4369-8ff7-68fd62f77522,"Scarbrook Road, Croydon",Primary
16dcb610-e980-42bf-b5c6-f753017b8b27,"Kings Cross Area, Camden",Primary
16ef49c4-c27a-4145-b5ff-ef6994438b70,"Victoria Dock Road, Newham, E16",Primary
16ef49c4-c27a-4145-b5ff-ef6994438b70,"Freemasons Road, Newham, E16",Primary
17038b9f-49c1-4233-88b0-665b8ac24e6f,"Clifden Road, Hackney",Primary
1720a688-861e-4e03-a394-83d35f45dcba,"Blackwall Tunnel, Tower Hamlets",Primary
1738943e-a08c-4df3-bdd3-e1fdffd68bc4,"Land off Morden Road, Mitcham, Merton",Primary
176ea832-7209-42f7-99f7-0940c7323d39,"Stephenson Street, E16",Primary
178a5948-28c5-4f64-b8a0-87ca6fbf4c48,"Ramsden Estate, Tintagel Road to Chelsfield Lane, Bromley",Primary
17bd5f96-35aa-4c53-8783-b0d22e4ab1d6,"Kirtling Street, London Borough of Wandsworth",Primary
17d0f6aa-b83e-4e40-ab6f-f50cfc52809d,"Throwley Way, Sutton",Primary
17e25992-0885-4ecc-a321-12d833c3c81f,"Stratford Market Depot, Stratford",Primary
17ff7a12-b116-4e92-8272-27ef12d463bf,"St Andrew's Mews, Dunsmure Road, Hackney, N16",Primary
18393360-6709-4b08-a17f-dd9febd494ff,"Knights Hill, SE27 0DF",Primary
185d08c3-5be3-48b4-bc2c-e21fc469ba8a,"57-63 Wharfdale Road and The Printworks, Regency Quarter Area D, Kings Cross, Islington",Primary
18878d31-ea75-4c2b-8ef4-ddd26f88de43,"Manchester Road, Isle of Dogs, E14",Primary
18fd2763-0bbb-41c9-b5cc-3a0101fbc2d5,"Lorry Park, Rom Valley Way, Romford, Havering",Primary
194e1074-30e4-490d-9a5d-e1cb07121a70,"Newham Way, Beckton, E6",Primary
194e1074-30e4-490d-9a5d-e1cb07121a70,"Woolwich Manor Way, Beckton, E6",Primary
197c9359-8e9e-4583-a282-7172760d97f9,"Hillingdon Road, Uxbridge, Hillingdon",Primary
197c9359-8e9e-4583-a282-7172760d97f9,"Honeycroft Hill, Uxbridge, Hillingdon",Primary
197c9359-8e9e-4583-a282-7172760d97f9,"Honey Hill, Uxbridge, Hillingdon",Primary
197c9359-8e9e-4583-a282-7172760d97f9,"Vine Lane, Uxbridge, Hillingdon",Primary
198f3f40-2c7d-4719-b67a-5ed495e17687,"Dukes Place, EC3",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Central Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"City Garden Row, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"City Road, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Coombs Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Dingley Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Graham Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Haverstock Road, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Macclesfield Road, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Moreland Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Nelson Place, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Oakley Crescent, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Pickard Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"President Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Remington Street, Islington",Primary
19c88cb2-3c57-4a39-ade7-058a61959277,"Roclife Street, Islington",Primary
19ee1773-ccdb-4b48-a6c4-429c98808557,"Planning Delivery Zone 3, E15",Primary
19f5721d-d055-4845-a72a-b6547a1b105e,"York Way, Kings Cross Central, Camden, N1 0AZ",Primary
1a55f28e-7382-4b6c-8f6a-c362d1fecc5d,"Battersea Church Road, Battersea, Wandsworth",Primary
1a659901-3792-49cb-a4ab-ce15abcdadd5,"Sweets Way Park, Sweets Way, Whetstone, Barnet",Primary
1aaef433-86c2-4eea-a2c2-8ac4b5fc414c,"Hayes Road, UB2",Primary
