ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Formal Garden,Documentary Evidence,,,,0,1909,1935,,,"OS 25"" 4th edition of White City Exhibition Grounds shows formal gardens with fountain and other landscape features."
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Training Area,Documentary Evidence,,,,0,1914,1918,,,
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Community Garden,Botanical Feature,,,,505713,1939,2050,,,
008f08d6-01ec-4645-b3f6-fcd7949b7d61,Childrens Playground,,,,,505713,1939,2050,,,
008f837e-bfbd-4013-aec5-b844530779a0,Cellar,Sub Surface Deposit,,,,0,1601,1800,,,
008f837e-bfbd-4013-aec5-b844530779a0,Basement,Sub Surface Deposit,,,,0,1601,1800,,,
0090b5e7-44b8-489d-807b-466cd77cc9a2,Findspot,Find,,,,0,-130000,-115000,,,"A MIS (Marine Isotope Stage) level of 5e (130,000 - 115,000 BC) has been suggested for the handaxe."
0090d9a5-bdd1-4f03-9449-c7a0b01076de,Railings,,,,,0,1907,,,,
0090d9a5-bdd1-4f03-9449-c7a0b01076de,Flats,,,,,0,1907,1907,,,
00918e30-919d-40fe-9102-92a65b8950e0,Water Channel,,,,,0,-500000,-150001,,,
00918e30-919d-40fe-9102-92a65b8950e0,Water Channel,,,,,0,-500000,-10001,,,
00918e30-919d-40fe-9102-92a65b8950e0,Stream,,,,,0,-500000,-150001,,,
00918e30-919d-40fe-9102-92a65b8950e0,Stream,,,,,0,-500000,-10001,,,
00923c9c-2008-4886-b40c-0c937dbcd014,Shop,,,,,0,1833,1866,,,
00923c9c-2008-4886-b40c-0c937dbcd014,Terraced House,,,,,0,1800,1820,,,
00933ae4-2865-4fb5-bb94-d2243a6dc6ec,Cess Pit,,,,,0,1540,1900,Post Medieval,Post Medieval,
00942d36-6a36-47b3-bcc7-8837808e3fc1,Detached House,Extant Building,Brick,,,0,1700,2050,,,
00942d36-6a36-47b3-bcc7-8837808e3fc1,,,,,Railing,434060,1936,2050,,,
00942d36-6a36-47b3-bcc7-8837808e3fc1,Plaque,Structure,,,,434060,2011,2050,,,
00954614-a682-4986-92db-986d5b970762,Brickfield,,,,,0,1540,1900,Post Medieval,Post Medieval,
00977c12-659d-4b6f-9363-5cee08e85a25,War Memorial,Extant Building,Portland Stone,Bronze,,0,1920,1920,Constructed,,
00977c12-659d-4b6f-9363-5cee08e85a25,,,,,Plaque,502033,1920,1920,Constructed,,
0098c090-6417-4c12-b8be-4939b07cab53,Moat,,,,,0,1066,1539,Medieval,Medieval,
0098c090-6417-4c12-b8be-4939b07cab53,Moat,,,,,0,1540,1900,Post Medieval,Post Medieval,
0098c090-6417-4c12-b8be-4939b07cab53,Moated Site,,,,,0,1066,1539,Medieval,Medieval,
0098c090-6417-4c12-b8be-4939b07cab53,Moated Site,,,,,0,1540,1900,Post Medieval,Post Medieval,
0098db5d-b56e-44c1-af5f-cc66e54190ec,House,,,,,0,1540,1900,Post Medieval,Post Medieval,
00995777-7906-48e2-b93f-4d25804bbbb0,Drain,,,,,0,1540,1900,Post Medieval,Post Medieval,
009ad6dd-0413-4bfe-b20c-462c2a181309,Detached House,,,,,0,1833,1866,,,
