ResourceID,Location Description,Location Description Type
2ef07785-ae65-4775-9554-ad4a047db0f9,"Swincombe Avenue, Boston Manor, Hounslow",Alternative
2f26c733-231b-4c2a-88c6-da0a24f1dc63,"Woodford Bridge, Redbridge",Alternative
2f39b7a9-b6ae-412d-85eb-3883230ade27,"Seven Sisters Road, Stamford Hill, Hackney, N4",Alternative
2f4db46e-b02d-49c2-85f5-56884b740a1b,"King Edward Street, City of London, EC1",Alternative
2f4db46e-b02d-49c2-85f5-56884b740a1b,"Newgate Street, City of London, EC1",Alternative
2f4db46e-b02d-49c2-85f5-56884b740a1b,"Warwick Street, City of London, EC1",Alternative
2f7bfdf5-3017-4549-a103-48f15fac3a92,"Cross Keys House, City of London, EC2",Alternative
30b860f7-e202-4329-b0e4-3c06777a8b85,Rosetta Street,Alternative
30b860f7-e202-4329-b0e4-3c06777a8b85,Wilcox Road,Alternative
30ef06b9-301e-4adc-9f67-9e51c31c0798,"St Francis Road, Erith, Bexley, DA8",Alternative
3137ce90-5853-4e1c-9b12-bb04688ee827,"Silwood Estate, Sketchley G, Lewisham, SE16",Alternative
3137ce90-5853-4e1c-9b12-bb04688ee827,"Silwood Estate, Reculver Road, Lewisham, SE16",Alternative
3137ce90-5853-4e1c-9b12-bb04688ee827,"Silwood Estate, Crane M, Lewisham, SE16",Alternative
313ba7b8-773f-4f55-9dc0-0b6d746b9ac1,"Westmoreland Road, Bromley South Central, Bromley",Alternative
3155786e-4da3-4134-b4da-fd251a4d6c8b,"Beaumont Square, Stepney Green, Tower Hamlets",Alternative
3155786e-4da3-4134-b4da-fd251a4d6c8b,"Cressy Place, Stepney Green, Tower Hamlets",Alternative
3155786e-4da3-4134-b4da-fd251a4d6c8b,"Hannibal Road, Stepney Green, Tower Hamlets",Alternative
3155786e-4da3-4134-b4da-fd251a4d6c8b,"Mile End Road, Stepney Green, Tower Hamlets",Alternative
3155786e-4da3-4134-b4da-fd251a4d6c8b,"Rectory Square, Stepney Green, Tower Hamlets",Alternative
3155786e-4da3-4134-b4da-fd251a4d6c8b,"Redman's Road, Stepney Green, Tower Hamlets",Alternative
